AppointmentID,CustomerID,SubscriptionID,ServiceDate,TechnicianID,Status,ChemicalsUsed,AmountApplied,Notes,InvoiceAmount,AmountPaid
APT-3001,1001,SUB-2001,2026-03-15,T03,Completed,Temprid SC,1.2 oz,Perimeter treatment + garage,89.00,89.00
APT-3002,1001,SUB-2001,2026-02-15,T03,Completed,Temprid SC,1.2 oz,,89.00,89.00
APT-3003,1001,SUB-2001,2026-01-15,T03,Completed,Temprid SC + Gentrol,1.5 oz,Found cockroach activity in kitchen — treated,89.00,89.00
APT-3004,1002,SUB-2002,2026-01-20,T01,Completed,Suspend SC,0.8 oz,,65.00,65.00
APT-3005,1002,SUB-2002,2025-10-18,T01,Completed,Suspend SC,0.8 oz,,65.00,65.00
APT-3006,1003,SUB-2003,2026-03-20,T02,Completed,Temprid SC + Maxforce Gel,2.0 oz,Commercial quarterly — all units treated,185.00,185.00
APT-3007,1003,SUB-2004,2026-03-20,T02,Completed,Contrac Blox,6 blocks,Rodent stations checked and re-baited,75.00,75.00
APT-3008,1003,SUB-2003,2026-02-20,T02,Completed,Temprid SC,1.8 oz,,185.00,185.00
APT-3009,1004,SUB-2005,2026-03-10,T01,Completed,Suspend SC,0.9 oz,,72.00,72.00
APT-3010,1004,SUB-2005,2026-01-10,T01,Completed,Suspend SC,0.9 oz,,72.00,72.00
APT-3011,1005,SUB-2006,2026-03-18,T03,Completed,Temprid SC,1.2 oz,,89.00,89.00
APT-3012,1005,SUB-2007,2026-03-18,T03,Completed,Suspend Polyzone,3.5 oz,Mosquito backpack treatment — yard,55.00,55.00
APT-3013,1005,SUB-2006,2026-02-18,T03,Completed,Temprid SC,1.1 oz,,89.00,89.00
APT-3014,1005,SUB-2007,2026-02-18,T03,Completed,Suspend Polyzone,3.2 oz,,55.00,55.00
APT-3015,1006,SUB-2008,2025-12-01,T01,Completed,Suspend SC,0.8 oz,,65.00,65.00
APT-3016,1007,SUB-2009,2026-03-22,T04,Completed,Temprid SC,1.0 oz,Left note — no answer,89.00,89.00
APT-3017,1007,SUB-2009,2026-02-22,T04,Completed,Temprid SC,1.0 oz,,89.00,89.00
APT-3018,1008,SUB-2010,2024-11-01,T01,Completed,Suspend SC,0.8 oz,Last service before cancellation,89.00,89.00
APT-3019,1009,SUB-2011,2026-03-15,T02,Completed,Temprid SC,1.1 oz,,72.00,72.00
APT-3020,1009,SUB-2011,2026-01-15,T02,Completed,Temprid SC,1.1 oz,,72.00,72.00
APT-3021,1010,SUB-2012,2026-03-25,T03,Completed,Suspend SC,0.9 oz,,89.00,89.00
APT-3022,1010,SUB-2012,2026-02-25,T03,Completed,Suspend SC,0.9 oz,,89.00,89.00
APT-3023,1012,SUB-2013,2025-10-01,T04,Completed,Temprid SC,1.0 oz,,65.00,65.00
APT-3024,1013,SUB-2014,2026-01-30,T01,Completed,Suspend SC,0.8 oz,,65.00,65.00
APT-3025,1014,SUB-2015,2026-03-16,T02,Completed,Temprid SC + Maxforce Gel,2.5 oz,Commercial warehouse — rodent exclusion check,225.00,225.00
APT-3026,1014,SUB-2015,2026-02-16,T02,Completed,Temprid SC,2.2 oz,,225.00,225.00
APT-3027,1015,SUB-2016,2025-11-20,T03,Completed,Suspend SC,0.7 oz,Elderly customer — spent extra time explaining,65.00,65.00
APT-3028,1016,SUB-2017,2026-03-28,T04,Completed,Temprid SC,1.1 oz,,89.00,89.00
APT-3029,1017,SUB-2018,2026-03-14,T01,Completed,Temprid SC,1.2 oz,,89.00,89.00
APT-3030,1017,SUB-2018,2026-02-14,T01,Completed,Temprid SC,1.2 oz,,89.00,0.00
APT-3031,1017,SUB-2018,2026-01-14,T01,Completed,Temprid SC,1.1 oz,,89.00,33.00
APT-3032,1020,SUB-2020,2026-03-17,T03,Completed,Suspend SC,1.0 oz,,89.00,89.00
APT-3033,1021,SUB-2021,2025-12-15,T04,Completed,Temprid SC,1.3 oz,,65.00,0.00
APT-3034,1021,SUB-2021,2025-09-15,T04,Completed,Temprid SC,1.2 oz,,65.00,0.00
APT-3035,1021,SUB-2021,2025-06-15,T04,Completed,Temprid SC,1.1 oz,,65.00,0.00
APT-3036,1022,SUB-2022,2026-03-12,T01,Completed,Suspend SC,0.8 oz,,89.00,89.00
APT-3037,1025,SUB-2023,2026-03-07,T02,Completed,Temprid SC,1.0 oz,,72.00,72.00
APT-3038,1025,SUB-2023,2026-01-07,T02,Completed,Temprid SC,1.1 oz,,72.00,72.00
